,Car Model,Price,History,Kilometers Driven,Transmission,Insurance,Owner,Fuel Type,Registration,Year of Purchase,Last Service
37,2011 Hyundai Santro Xing GL PLUS MANUAL,"298,899",Non-Accidental,"102,743 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Petrol,KA-01-M-x-xxxx,July 2011,"102,743km (13 Dec 2021)"
38,2011 Hyundai Santro Xing GL PLUS MANUAL,"305,799",Non-Accidental,"70,009 km",MANUAL,Valid upto Jan 20233rd Party,2nd Owner,Petrol,KA-03-M-x-xxxx,June 2011,"70,009km (17 Nov 2021)"
39,2018 Tata Tiago XZ 1.2 REVOTRON MANUAL,"550,899",Non-Accidental,"30,545 km",MANUAL,Valid upto Aug 2022Comp,1st Owner,Petrol,KA-05-M-x-xxxx,May 2018,"30,545km (27 Oct 2021)"
40,2013 Hyundai i20 SPORTZ 1.4 AT VTVT MANUAL,"561,799",Non-Accidental,"50,903 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Petrol,KA-01-M-x-xxxx,February 2013,"50,903km (07 Jan 2022)"
41,2014 Maruti Swift VXI MANUAL,"488,999",Non-Accidental,"51,290 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Petrol,KA-04-M-x-xxxx,February 2014,"51,290km (28 Oct 2021)"
42,2017 Renault Kwid  RXL1.0 EASY-R AT ,"455,199",Non-Accidental,"26,371 km",NA,Valid upto Jan 20233rd Party,1st Owner,Petrol,KA-51-M-x-xxxx,May 2017,"26,371km (14 Jan 2022)"
43,2012 Maruti Swift VXI MANUAL,"465,599",Non-Accidental,"56,941 km",MANUAL,Valid upto Jan 20233rd Party,2nd Owner,Petrol,KA-03-M-x-xxxx,December 2012,"56,941km (19 Jan 2022)"
44,2012 Maruti Swift VXI MANUAL,"476,499",Non-Accidental,"75,456 km",MANUAL,Valid upto May 2022Comp,1st Owner,Petrol,KA-05-M-x-xxxx,April 2012,"75,456km (29 Oct 2021)"
45,2017 Renault Kwid CLIMBER 1.0 AT MANUAL,"479,599",Non-Accidental,"26,686 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Petrol,KA-05-M-x-xxxx,March 2017,"26,686km (29 Nov 2021)"
46,2017 Renault Kwid  RXL1.0 EASY-R AT MANUAL,"442,399",Non-Accidental,"15,883 km",MANUAL,Valid upto Jun 2022Comp,1st Owner,Petrol,KA-03-N-x-xxxx,April 2017,"15,883km (18 Nov 2021)"
47,2017 Renault Kwid  RXL1.0 EASY-R AT MANUAL,"448,299",Non-Accidental,"18,163 km",MANUAL,Valid upto May 2022Comp,1st Owner,Petrol,KA-01-M-x-xxxx,March 2017,"18,163km (07 Dec 2021)"
48,2014 Hyundai i10 SPORTZ 1.1 IRDE2 MANUAL,"360,799",Non-Accidental,"61,003 km",MANUAL,Valid upto Jan 20233rd Party,2nd Owner,Petrol,KA-04-M-x-xxxx,August 2014,"61,003km (03 Jan 2022)"
49,2018 Renault Kwid 1.0 RXT MANUAL,"394,199",Non-Accidental,"32,381 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Petrol,KA-19-M-x-xxxx,January 2018,"32,381km (12 Jan 2022)"
50,2015 Tata Nano XT TWIST MANUAL,"199,199",Non-Accidental,"39,703 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Petrol,KA-14-P-x-xxxx,February 2015,"39,703km (11 Jan 2022)"
51,2013 Toyota Etios Liva V MANUAL,"516,999",Non-Accidental,"48,838 km",MANUAL,Valid upto Aug 2022Comp,1st Owner,Petrol,KA-04-M-x-xxxx,July 2013,"48,838km (13 Nov 2021)"
52,2015 Hyundai Eon D LITE PLUS MANUAL,"347,499",Non-Accidental,"22,112 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Petrol,KA-53-M-x-xxxx,October 2015,"22,112km (19 Jan 2022)"
