,Car Model,Price,History,Kilometers Driven,Transmission,Insurance,Owner,Fuel Type,Registration,Year of Purchase,Last Service
204,2017 Maruti Baleno DELTA 1.2 K12  MANUAL,"562,499",Non-Accidental,"12,322 km",MANUAL,Valid upto Jan 20233rd Party,2nd Owner,Petrol,DL-6C-Q-x-xxxx,September 2017,"12,322km (31 Dec 2021)"
205,2017 Maruti Baleno ZETA 1.2 K12  MANUAL,"608,899",Non-Accidental,"41,963 km",MANUAL,Valid upto Nov 2022Zero_Dep,1st Owner,Petrol,UP-14-D-x-xxxx,August 2017,"41,963km (07 Jan 2022)"
206,2017 Maruti Baleno ALPHA 1.2 K12  MANUAL,"606,699",Non-Accidental,"22,673 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Petrol,HR-26-D-x-xxxx,October 2017,"22,673km (24 Dec 2021)"
207,2019 Maruti Vitara Brezza VDI AMT MANUAL,"900,599",Non-Accidental,"56,076 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Diesel,HR-26-D-x-xxxx,January 2019,"56,076km (16 Dec 2021)"
208,2020 Mahindra XUV500 W11 (O) MANUAL,"1,740,299",Non-Accidental,"27,892 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Diesel,HR-26-E-x-xxxx,January 2020,"27,892km (11 Nov 2021)"
209,2019 Maruti Vitara Brezza VDI MANUAL,"821,799",Non-Accidental,"25,398 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Diesel,UP-14-D-x-xxxx,January 2019,"25,398km (17 Dec 2021)"
210,2019 Maruti Vitara Brezza VDI MANUAL,"844,899",Non-Accidental,"27,455 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Diesel,DL-2C-A-x-xxxx,January 2019,"27,455km (30 Dec 2021)"
211,2019 Maruti Vitara Brezza VDI MANUAL,"816,899",Non-Accidental,"18,028 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Diesel,HR-26-D-x-xxxx,February 2019,"18,028km (16 Nov 2021)"
212,2014 Maruti Wagon R 1.0 VXI MANUAL,"303,799",Non-Accidental,"59,918 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Petrol,DL-2C-A-x-xxxx,April 2014,"59,918km (12 Jan 2022)"
213,2019 Maruti Alto VXI MANUAL,"388,699",Non-Accidental,"13,299 km",MANUAL,Valid upto Aug 2022Comp,1st Owner,Petrol,DL-6C-S-x-xxxx,August 2019,"13,299km (10 Dec 2021)"
214,2019 Maruti Vitara Brezza VDI MANUAL,"841,299",Non-Accidental,"37,696 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Diesel,HR-29-A-x-xxxx,January 2019,"37,696km (11 Dec 2021)"
215,2014 Maruti Swift Dzire VXI 1.2 BS IV MANUAL,"391,599",Non-Accidental,"73,614 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Petrol,DL-8C-A-x-xxxx,September 2014,"73,614km (17 Nov 2021)"
216,2019 Renault Kwid RXL MANUAL,"344,499",Non-Accidental,"17,515 km",MANUAL,Valid upto Jan 20233rd Party,2nd Owner,Petrol,DL-8C-A-x-xxxx,February 2019,"17,515km (16 Nov 2021)"
217,2019 Maruti Vitara Brezza VDI MANUAL,"854,199",Non-Accidental,"31,245 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Diesel,HR-29-A-x-xxxx,January 2019,"31,245km (07 Jan 2022)"
218,2013 Maruti Wagon R 1.0 LXI MANUAL,"272,199",Non-Accidental,"84,917 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Petrol,DL-1C-N-x-xxxx,March 2013,"84,917km (05 Jan 2022)"
219,2014 Maruti Swift Dzire LDI BS IV MANUAL,"367,099",Non-Accidental,"56,467 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Diesel,DL-8C-A-x-xxxx,August 2014,"56,467km (24 Dec 2021)"
220,2019 Maruti Alto 800 VXI MANUAL,"352,499",Non-Accidental,"10,316 km",MANUAL,Valid upto Nov 2022Zero_Dep,1st Owner,Petrol,DL-1C-A-x-xxxx,October 2019,"10,316km (22 Nov 2021)"
221,2019 Maruti Baleno SIGMA 1.2 K12 MANUAL,"592,499",Non-Accidental,"15,604 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Petrol,DL-10-C-x-xxxx,December 2019,"15,604km (17 Jan 2022)"
222,2017 Maruti Swift LXI OPT MANUAL,"449,699",Non-Accidental,"27,589 km",MANUAL,Valid upto Jan 20233rd Party,2nd Owner,Petrol,DL-5C-P-x-xxxx,November 2017,"27,589km (29 Oct 2021)"
223,2014 Maruti Swift Dzire VDI BS IV MANUAL,"397,099",Non-Accidental,"88,835 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Diesel,DL-1C-R-x-xxxx,November 2014,"88,835km (11 Jan 2022)"
224,2014 Maruti Swift Dzire LDI BS IV MANUAL,"382,199",Non-Accidental,"76,013 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Diesel,DL-9C-A-x-xxxx,January 2014,"76,013km (14 Jan 2022)"
225,2018 Renault Kwid RXL MANUAL,"325,399",Non-Accidental,"18,277 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Petrol,HR-29-A-x-xxxx,November 2018,"18,277km (03 Nov 2021)"
