,Car Model,Price,History,Kilometers Driven,Transmission,Insurance,Owner,Fuel Type,Registration,Year of Purchase,Last Service
285,2011 Volkswagen Vento HIGHLINE DIESEL MANUAL,"331,099",Non-Accidental,"79,484 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Diesel,MH-02-C-x-xxxx,December 2011,"79,484km (30 Nov 2021)"
286,2013 Maruti Swift VXI MANUAL,"402,899",Non-Accidental,"36,088 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Petrol,MH-48-S-x-xxxx,November 2013,"36,088km (23 Dec 2021)"
287,2013 Maruti Alto 800 VXI MANUAL,"228,198",Non-Accidental,"10,126 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Petrol,MH-43-A-x-xxxx,July 2013,"10,126km (27 Dec 2021)"
288,2017 Renault Kwid CLIMBER 1.0 AT MANUAL,"388,299",Non-Accidental,"9,644 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Petrol,MH-04-H-x-xxxx,March 2017,"9,644km (06 Dec 2021)"
289,2015 Honda City V MT PETROL MANUAL,"565,399",Non-Accidental,"150,305 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Petrol,MH-14-F-x-xxxx,October 2015,"150,305km (24 Nov 2021)"
290,2016 Volkswagen Vento HIGHLINE 1.2 TSI AT ,"675,999",Non-Accidental,"68,459 km",NA,Valid upto Jan 20233rd Party,1st Owner,Petrol,MH-12-M-x-xxxx,January 2016,"68,459km (26 Nov 2021)"
291,2017 Volkswagen Polo HIGHLINE PLUS 1.2L PETROL ,"644,099",Non-Accidental,"23,180 km",NA,Valid upto Jan 20233rd Party,1st Owner,Petrol,MH-12-P-x-xxxx,September 2017,"23,180km (13 Jan 2022)"
292,2015 Maruti Celerio VXI  MANUAL,"379,599",Non-Accidental,"22,159 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Petrol,MH-40-A-x-xxxx,November 2015,"22,159km (01 Oct 2021)"
293,2016 Ford New Figo 1.2 TREND MANUAL,"420,899",Non-Accidental,"29,020 km",MANUAL,Valid upto Jul 2022Comp,1st Owner,Petrol,MH-47-K-x-xxxx,May 2016,"29,020km (24 Dec 2021)"
294,2018 Maruti Celerio VXI AMT AUTOMATIC,"494,899",Non-Accidental,"20,753 km",AUTOMATIC,Valid upto Jan 20233rd Party,2nd Owner,Petrol,MH-14-G-x-xxxx,January 2018,"20,753km (25 Oct 2021)"
295,2017 Hyundai Elite i20 ASTA 1.2 (O) MANUAL,"592,299",Non-Accidental,"37,061 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Petrol,MH-49-A-x-xxxx,January 2017,"37,061km (03 Jan 2022)"
296,2020 Tata Harrier XM 2.0L Kryotec MANUAL,"1,514,599",Non-Accidental,"16,874 km",MANUAL,Valid upto Feb 2023Comp,1st Owner,Diesel,MH-05-E-x-xxxx,January 2020,"16,874km (26 Oct 2021)"
297,2017 Hyundai Verna 1.6 SX (O) CRDI MT MANUAL,"1,089,999",Non-Accidental,"45,244 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Diesel,MH-14-G-x-xxxx,September 2017,"45,244km (11 Jan 2022)"
298,2016 Maruti Ertiga VDI SHVS MANUAL,"833,299",Non-Accidental,"55,926 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Diesel,MH-43-B-x-xxxx,July 2016,"55,926km (14 Dec 2021)"
299,2016 Hyundai Elite i20 SPORTZ 1.2 MANUAL,"536,099",Non-Accidental,"84,580 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Petrol,MH-12-N-x-xxxx,November 2016,"84,580km (25 Nov 2021)"
300,2014 Maruti Ertiga VDI ABS MANUAL,"648,599",Non-Accidental,"62,677 km",MANUAL,Valid upto Jun 2022Comp,1st Owner,Diesel,MH-12-K-x-xxxx,May 2014,"62,677km (27 Oct 2021)"
301,2017 Maruti Ertiga ZDI PLUS SHVS MANUAL,"896,799",Non-Accidental,"51,927 km",MANUAL,Valid upto May 2022Comp,1st Owner,Diesel,MH-38-8-x-xxxx,May 2017,
302,2016 Volkswagen Ameo HIGHLINE 1.2 MANUAL,"546,299",Non-Accidental,"38,999 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Petrol,MH-12-N-x-xxxx,October 2016,"38,999km (14 Dec 2021)"
303,2018 Nissan Micra XL CVT (PETROL) AUTOMATIC,"662,399",Non-Accidental,"21,213 km",AUTOMATIC,Valid upto Jan 20233rd Party,1st Owner,Petrol,MH-14-G-x-xxxx,March 2018,"21,213km (19 Jan 2022)"
304,2011 Hyundai i20 SPORTZ 1.2 O MANUAL,"335,499",Non-Accidental,"94,126 km",MANUAL,Valid upto Jan 20233rd Party,2nd Owner,Petrol,MH-12-H-x-xxxx,June 2011,"94,126km (05 Jan 2022)"
305,2018 Hyundai Creta 1.6 SX AT CRDI ,"1,396,699",Non-Accidental,"30,872 km",NA,Valid upto Jan 20233rd Party,1st Owner,Diesel,MH-47-A-x-xxxx,May 2018,
306,2016 Hyundai Elite i20 ASTA 1.2 MANUAL,"564,599",Non-Accidental,"45,362 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Petrol,MH-47-K-x-xxxx,June 2016,"45,362km (28 Nov 2021)"
307,2015 Hyundai New Elantra 1.6 SX AT MANUAL,"848,699",Non-Accidental,"68,431 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Diesel,MH-09-D-x-xxxx,February 2015,
