,Car Model,Price,History,Kilometers Driven,Transmission,Insurance,Owner,Fuel Type,Registration,Year of Purchase,Last Service
163,2019 Maruti Baleno DELTA 1.2 K12  MANUAL,"595,999",Non-Accidental,"17,973 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Petrol,WB-06-S-x-xxxx,September 2019,"17,973km (30 Dec 2021)"
164,2015 Maruti Wagon R 1.0 VXI MANUAL,"342,599",Non-Accidental,"53,252 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Petrol,WB-20-A-x-xxxx,January 2015,"53,252km (24 Dec 2021)"
165,2020 Renault Kwid 1.0 CLIMBER OPT ,"446,899",Non-Accidental,690 km,NA,Valid upto Nov 2023Third_party,1st Owner,Petrol,WB-10-B-x-xxxx,November 2020,690km (15 Jan 2022)
166,2020 Renault Kwid 1.0 CLIMBER OPT AMT MANUAL,"479,399",Non-Accidental,"10,796 km",MANUAL,Valid upto Sep 2022Zero_Dep,1st Owner,Petrol,WB-26-B-x-xxxx,July 2020,"10,796km (29 Dec 2021)"
167,2018 Maruti Wagon R 1.0 VXI MANUAL,"420,399",Non-Accidental,"22,625 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Petrol,WB-26-B-x-xxxx,November 2018,"22,625km (26 Oct 2021)"
168,2018 Hyundai Grand i10 MAGNA 1.2 VTVT MANUAL,"451,599",Non-Accidental,"22,017 km",MANUAL,Valid upto Jan 20233rd Party,2nd Owner,Petrol,WB-24-A-x-xxxx,March 2018,"22,017km (08 Nov 2021)"
169,2016 Maruti Wagon R 1.0 LXI MANUAL,"342,899",Non-Accidental,"33,948 km",MANUAL,Valid upto Jul 2022Third_party,1st Owner,Petrol,WB-08-C-x-xxxx,April 2016,"33,948km (30 Dec 2021)"
170,2018 Maruti Wagon R 1.0 VXI MANUAL,"431,799",Non-Accidental,"26,371 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Petrol,WB-10-1-x-xxxx,January 2018,"26,371km (30 Dec 2021)"
171,2015 Maruti Wagon R 1.0 VXI MANUAL,"354,799",Non-Accidental,"53,124 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Petrol,WB-02-A-x-xxxx,July 2015,"53,124km (17 Jan 2022)"
172,2015 Hyundai Grand i10 SPORTS 1.2 VTVT MANUAL,"401,999",Non-Accidental,"34,200 km",MANUAL,Valid upto Aug 2022Comp,1st Owner,Petrol,WB-26-T-x-xxxx,September 2015,"34,200km (12 Jan 2022)"
173,2019 Maruti Baleno DELTA 1.2 K12  MANUAL,"685,299",Non-Accidental,"2,829 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Petrol,WB-02-A-x-xxxx,March 2019,"2,829km (30 Dec 2021)"
174,2014 Maruti Wagon R 1.0 LXI MANUAL,"329,299",Non-Accidental,"63,459 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Petrol,WB-02-A-x-xxxx,January 2014,"63,459km (11 Nov 2021)"
