,Car Model,Price,History,Kilometers Driven,Transmission,Insurance,Owner,Fuel Type,Registration,Year of Purchase,Last Service
93,2018 Ford Ecosport 1.5 TITANIUM PLUS TI VCT AT MANUAL,"857,599",Non-Accidental,"30,271 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Petrol,GJ-01-H-x-xxxx,March 2018,"30,271km (02 Jan 2022)"
94,2018 Hyundai Elite i20 1.4 CRDI ASTA (O) MANUAL,"682,799",Non-Accidental,"81,282 km",MANUAL,Valid upto Jul 2022Third_party,2nd Owner,Diesel,GJ-38-B-x-xxxx,January 2018,"81,282km (03 Jan 2022)"
95,2017 Jeep Compass 2.0 LIMITED 4*2 MANUAL,"1,182,899",Non-Accidental,"148,933 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Diesel,GJ-05-R-x-xxxx,October 2017,"148,933km (19 Jan 2022)"
96,2018 Ford Ecosport 1.5 TITANIUM PLUS TI VCT AT MANUAL,"865,399",Non-Accidental,"15,950 km",MANUAL,Valid upto Jun 2022Third_party,1st Owner,Petrol,GJ-01-H-x-xxxx,June 2018,"15,950km (07 Dec 2021)"
97,2020 Hyundai Creta 1.6 EX CRDI MANUAL,"1,353,899",Non-Accidental,"26,284 km",MANUAL,Valid upto Jan 2023Third_party,1st Owner,Diesel,GJ-01-K-x-xxxx,January 2020,"26,284km (30 Dec 2021)"
98,2019 Renault Kwid RXL MANUAL,"354,899",Non-Accidental,"21,560 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Petrol,GJ-08-B-x-xxxx,January 2019,"21,560km (11 Jan 2022)"
99,2019 Renault Kwid RXL MANUAL,"354,899",Non-Accidental,"25,442 km",MANUAL,Valid upto May 2022Zero_Dep,1st Owner,Petrol,GJ-01-K-x-xxxx,January 2019,"25,442km (30 Nov 2021)"
100,2017 Maruti Baleno DELTA 1.2 K12  MANUAL,"615,999",Non-Accidental,"24,132 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Petrol,GJ-01-R-x-xxxx,March 2017,"24,132km (07 Jan 2022)"
101,2019 Renault Kwid RXL MANUAL,"355,799",Non-Accidental,"33,957 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Petrol,GJ-01-K-x-xxxx,January 2019,"33,957km (26 Nov 2021)"
102,2020 Volkswagen Vento HIGHLINE PLUS 1.0 TSI AT AUTOMATIC,"937,399",Non-Accidental,"17,464 km",AUTOMATIC,Valid upto Nov 2023Third_party,2nd Owner,Petrol,GJ-01-K-x-xxxx,September 2020,"17,464km (02 Jan 2022)"
103,2020 Hyundai Verna SX PETROL AT  AUTOMATIC,"1,128,399",Non-Accidental,"22,836 km",AUTOMATIC,Valid upto Jan 20233rd Party,1st Owner,Petrol,GJ-05-R-x-xxxx,March 2020,"22,836km (22 Nov 2021)"
104,2018 Maruti Baleno DELTA 1.2 K12  MANUAL,"562,299",Non-Accidental,"98,821 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Petrol,GJ-01-H-x-xxxx,May 2018,"98,821km (01 Jan 2022)"
