,Car Model,Price,History,Kilometers Driven,Transmission,Insurance,Owner,Fuel Type,Registration,Year of Purchase,Last Service
25,2017 Hyundai Xcent S 1.2 MANUAL,"529,199",Non-Accidental,"39,080 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Petrol,TS-09-E-x-xxxx,March 2017,"39,080km (18 Jan 2022)"
26,2017 Maruti Swift LXI OPT MANUAL,"540,299",Non-Accidental,"10,875 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Petrol,TS-10-E-x-xxxx,November 2017,"10,875km (03 Jan 2022)"
27,2017 Ford New Figo 1.2 TITANIUM MANUAL,"527,899",Non-Accidental,"36,848 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Petrol,TS-07-F-x-xxxx,July 2017,"36,848km (20 Dec 2021)"
28,2016 Hyundai Eon MAGNA PLUS MANUAL,"304,499",Non-Accidental,"27,283 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Petrol,TS-12-E-x-xxxx,February 2016,"27,283km (12 Jan 2022)"
29,2020 Hyundai VENUE 1.5 SX CRDI MT ,"1,035,499",Non-Accidental,"40,139 km",NA,Valid upto Jan 20233rd Party,1st Owner,Diesel,AP-39-E-x-xxxx,May 2020,"40,139km (07 Jan 2022)"
30,2016 Ford New Figo 1.5 TITANIUM + MANUAL,"512,699",Non-Accidental,"90,812 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Diesel,TS-07-F-x-xxxx,October 2016,"90,812km (08 Jan 2022)"
31,2019 Toyota Innova Crysta 2.4 GX 8 STR MANUAL,"1,570,499",Non-Accidental,"187,298 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Diesel,TS-08-G-x-xxxx,March 2019,"187,298km (20 Jan 2022)"
32,2018 Hyundai Verna 1.6 CRDI SX + AT AUTOMATIC,"1,071,999",Non-Accidental,"83,119 km",AUTOMATIC,Valid upto Jan 20233rd Party,1st Owner,Diesel,TS-07-G-x-xxxx,August 2018,"83,119km (01 Jan 2022)"
33,2017 Maruti IGNIS DELTA 1.2 K12  MANUAL,"554,999",Non-Accidental,"12,511 km",MANUAL,Valid upto Jun 2022Comprehensive,2nd Owner,Petrol,TS-07-F-x-xxxx,April 2017,"12,511km (15 Jan 2022)"
34,2018 Maruti Baleno ZETA 1.2 K12  MANUAL,"653,499",Non-Accidental,"69,895 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Petrol,TS-07-G-x-xxxx,June 2018,"69,895km (29 Dec 2021)"
